RuleID,Cond1,Op1,Val1,Cond2,Op2,Val2,Result_Attr,Result_Val
R1,Glucose,>,140,None,None,None,glucose_status,High
R2,Glucose,<=,140,None,None,None,glucose_status,Normal
R3,BMI,>,30,None,None,None,weight_status,Obese
R4,BMI,<=,30,None,None,None,weight_status,NotObese
R5,Age,>,50,None,None,None,age_group,Senior
R6,BloodPressure,>,90,None,None,None,bp_status,High
R7,glucose_status,==,High,weight_status,==,Obese,risk_factor,High
R8,glucose_status,==,High,age_group,==,Senior,risk_factor,High
R9,glucose_status,==,Normal,weight_status,==,NotObese,risk_factor,Low
R10,risk_factor,==,High,bp_status,==,High,Outcome,1
R11,risk_factor,==,High,None,None,None,Outcome,1
R12,risk_factor,==,Low,None,None,None,Outcome,0
